ID,site,year,sl,body_depth,ap_length,ap_width,Jaw_length,ppl,ppw,dorsal_1,dorsal_2,pelvic_spine,sex,lp_no,rp_no
HG220241,lake,2022,63.96,15.78,6.12,1.18,4.6,7.67,3.4,3.45,3.96,4.92,M,0,0
HG220242,lake,2022,58.95,15.12,6.48,1.5,4.67,7.8,3.62,2.67,3.02,4.5,M,3,1
HG220243,lake,2022,51.99,13.57,5.26,1.08,4.13,5.92,2.31,3.28,3.82,5.36,M,3,3
HG220244,lake,2022,47.42,11.25,6,1.17,2.96,6.9,1.84,3.1,3.68,4.86,F,0,0
HG220245,lake,2022,56.23,12.51,6.63,1.13,3.6,6.51,2.15,2.6,3.79,5.92,F,0,0
HG220246,lake,2022,57.78,15.22,6.83,1.08,4.34,7.05,3.06,3.13,3.92,4.71,M,0,0
HG220247,lake,2022,55.56,13.73,5.28,1.23,4.22,6.89,2.79,NA,3.65,5.48,M,1,2
HG220248,lake,2022,54.78,13.39,5.95,1.21,3.67,6.44,3.08,2.75,3.86,5.02,F,2,1
HG220249,lake,2022,55.02,12.86,5.82,1.24,3.47,6.98,2.34,NA,2.86,4.67,F,2,1
HG220250,lake,2022,48.63,11.68,4.84,1.2,3.34,7.27,2.07,2.44,3.24,5.13,M,2,4
HG220251,lake,2022,55.81,13.17,6.2,1.23,3.57,6.82,2.22,3.26,3.73,5.26,F,3,3
HG220252,lake,2022,52.45,13.26,6.68,1.39,4.07,7.34,2.41,2.93,3.13,5.02,M,2,2
HG220253,lake,2022,47.33,10.88,5.44,1.04,2.95,6.95,1.83,3.26,3.67,5.44,F,2,2
HG220254,lake,2022,52.4,12.7,4.84,1.35,3.55,7.27,2.27,3.23,4.22,5.06,M,2,3
HG220255,lake,2022,53.28,12.87,5.74,1.41,3.42,6.59,2.13,3.42,4.62,5.47,F,2,2
HG220256,lake,2022,52.22,12.4,5.34,1.07,3.79,6.12,1.95,3.52,4.14,4.8,M,1,0
HG220257,lake,2022,56.15,12.7,5.59,1.29,3.55,7.21,2.43,3.19,4.08,5.12,F,2,2
HG220258,lake,2022,54.56,12.7,6.47,1.1,3.57,7.17,2.37,NA,3.62,4.39,F,3,3
HG220259,lake,2022,47.6,11.22,5.9,1.06,3.48,6.17,2.08,3.02,3.59,4.6,M,2,3
HG220260,lake,2022,47.38,11.16,5.5,1.3,3.02,6.18,1.67,2.69,3.51,5.52,F,3,4
HG220261,lake,2022,66.52,15.97,7.54,1.11,4.69,8.71,4.15,3.28,4.19,5.32,F,2,0
HG220262,lake,2022,53.38,12.7,5.48,1.19,4.33,8.11,2.31,3.48,3.68,5.59,M,3,2
HG220263,lake,2022,53.38,12.94,5.64,1.08,4.19,8,2.18,2.69,3.38,4.58,M,3,2
HG220264,lake,2022,48.42,12,6.2,1.06,3.52,7.16,2.03,2.1,3.6,5.16,M,1,0
HG220265,lake,2022,49.93,12.85,5.99,0.99,3.81,7.07,2.16,3.66,3.88,4.91,M,2,2
HG220266,lake,2022,61.41,14.19,7.08,1.48,4.18,7.72,3.21,3.28,4.18,5.08,F,3,2
HG220267,lake,2022,50.92,11.75,6.35,1.42,3.81,7.3,1.92,2.83,3.37,4.62,M,4,1
HG220268,lake,2022,46.73,11.18,4.79,1.11,3.2,6.06,1.7,NA,3.11,4.1,F,2,1
HG220269,lake,2022,64.97,14.7,6.42,1.18,4.45,9.14,3.57,2.9,2.96,4.86,F,3,3
HG220270,lake,2022,52.42,12.85,6.51,1.07,3.91,7.45,2.17,2.55,3.97,5.3,M,0,0
HG220271,lake,2022,47.58,11.6,5.02,1.04,3.31,6.59,2.1,2.38,3.9,4.48,M,4,3
HG220272,lake,2022,52.44,12.33,5.39,1.35,3.36,6.62,2.21,NA,3.61,4.73,F,0,0
HG220273,lake,2022,60.26,14.49,6.46,1.11,4.26,7.44,3.55,3.25,4.17,5.29,F,3,3
HG220274,lake,2022,50.81,12,6.44,1.14,3.83,7.98,2.4,2.32,3.48,4.76,M,0,0
HG220275,lake,2022,51.2,13.08,6.81,1.23,4.34,7.13,2.22,2.17,3.35,4.58,M,0,0
HG220276,lake,2022,49.41,11.31,5.68,1.05,3.43,6.96,2.08,NA,3.1,4.4,F,2,2
HG220277,lake,2022,50.48,12,5.57,1.38,3.9,6.45,2.03,2.09,3.6,4.65,M,3,2
HG220278,lake,2022,52.19,12.71,6.2,1.18,4.07,6.49,1.91,3.2,3.95,5.45,M,2,0
HG220279,lake,2022,51.28,12.75,6.26,1.3,3.56,6.76,2.5,2.6,3.61,4.91,M,2,0
HG220280,lake,2022,52.73,12.03,5.07,1.08,3.72,6.28,2.35,2.94,4.39,5.31,F,1,2
HG220281,lake,2022,51.86,12.39,6.51,1.22,4.31,7.41,2.21,3.49,4.12,5.43,M,3,2
HG220282,lake,2022,62.43,14.81,6.49,1.29,5.11,7.69,2.89,2.84,3.1,4.47,M,0,0
HG220283,lake,2022,52.69,13.76,6,1.32,4.04,7.75,2.61,NA,3.88,5.05,M,1,0
HG220284,lake,2022,52.33,12.87,5.9,1.11,3.99,6.92,2.6,2.91,3.51,4.57,M,3,4
HG220285,lake,2022,60.64,14.45,6.55,1.15,4.85,7.54,2.95,3.54,3.5,4.39,M,1,2
HG220286,lake,2022,47.96,12.51,6.15,1.55,3.9,6.7,2.28,2.75,3.61,5.95,M,3,3
HG220288,lake,2022,57.05,13.26,6.14,1.18,4.22,8.27,2.5,3.24,3.37,4.92,M,3,2
HG220289,lake,2022,48.6,11.1,5.85,1.1,3.24,6.29,2.31,3.11,3.64,5.14,F,3,2
HG220290,lake,2022,49.26,11.97,5.37,1.42,3.27,7.02,1.9,3.24,4.1,4.68,M,2,2
HG220291,lake,2022,50.38,12.56,5.32,1,3.95,7.32,2.08,3.31,4.17,4.91,M,3,2
HG220292,lake,2022,66.42,16.33,7.11,1.59,5.58,8.06,3.2,2.68,3.25,4.71,M,3,1
HG220293,lake,2022,52.39,12.07,4.86,1.17,3.67,5.51,1.72,2.55,3.44,5.23,M,2,1
HG220294,lake,2022,57.45,13.18,6.17,1.16,5.05,7.96,3.28,2.96,3.94,4.73,M,0,0
HG220295,lake,2022,59.19,14.28,6.04,1.29,4.82,6.82,2.62,3.04,3.26,4.73,M,0,0
HG220296,lake,2022,51.96,12.23,5.69,0.74,3.35,6.52,2.16,3.36,3.89,5.22,F,0,0
HG220297,lake,2022,61.33,14.65,7.63,1.28,5.28,8.07,2.89,3.04,3.48,4.68,M,2,1
HG220298,lake,2022,51.96,12.91,5.96,1.19,3.85,6.86,2.66,2.65,3.45,4.72,M,2,3
HG220299,lake,2022,46.13,10.66,5.56,1.18,3.35,6.27,2.27,3.31,3.58,4.69,M,2,2
HG220300,lake,2022,54.5,13.18,5.62,1.28,4.34,7.19,2.3,2.71,4,5.12,M,1,0
HG220301,lake,2022,50.7,11.18,6.12,1.14,3.55,6.61,2.46,NA,3.23,4.93,M,2,2
HG220302,lake,2022,59.27,14.46,7.36,1.3,5.1,7.76,3.14,3.43,3.57,4.66,M,2,0
HG220303,lake,2022,51.64,12.89,5.9,1.39,4.06,6.37,1.93,2.29,3.5,4.57,M,1,1
HG220304,lake,2022,47.52,10.23,5.15,0.95,3.13,4.58,1.88,2.33,3.43,4.26,F,0,0
HG220305,lake,2022,61.75,15.42,6.98,1.5,5.14,8.44,3.16,3.49,3.42,4.9,M,3,1
HG220306,lake,2022,55.02,13.47,5.86,1.35,3.96,6.48,3.1,2.22,2.86,4.7,F,2,2
HG220307,lake,2022,49.04,11.76,5.64,1.09,3.33,5.04,1.5,2.67,3.38,4.73,M,3,2
HG220308,lake,2022,50.95,11.96,5.7,1.13,3.42,6.29,2.44,3.64,4.34,5.5,F,2,3
HG220309,lake,2022,50.76,12.92,6.03,1.29,3.94,6.71,2.23,NA,3.68,5.26,M,3,3
HG220310,lake,2022,59.28,14.41,7.18,1.57,5.29,8.15,3.17,2.52,3.8,5.12,F,3,3
HG220311,lake,2022,49.25,11.91,5.62,0.74,3.19,5.72,1.86,2.76,3.64,4.91,F,2,1
HG220312,lake,2022,48.64,10.33,5.87,1.13,3.24,5.83,2.07,3.05,3.47,5.3,F,0,1
HG220313,lake,2022,48.37,12.09,5.29,0.95,3.57,6.56,2.19,1.78,3.96,4.65,M,2,2
HG220314,lake,2022,49.13,12.11,5.22,1.47,3.57,6.21,2.32,3.43,3.72,5.18,M,4,3
HG220315,lake,2022,49.35,12.33,4.82,1.1,3.69,6.22,2.37,3.55,3.55,5.08,M,2,3
HG220316,lake,2022,59.16,13.74,5.49,1.34,3.41,7.45,3.65,3.11,3.61,5.31,F,2,2
HG220317,lake,2022,48.45,10.89,5.66,1.22,3.2,5.98,1.94,2.02,3.46,4.83,F,2,2
HG220318,lake,2022,44.15,10.32,5.11,1.18,2.7,5.04,1.65,1.99,3.31,4.31,F,3,2
